,stock_id,start_date,end_date
606,600510,2014-12-10,2015-08-27
607,600512,2014-06-13,2014-12-15
608,600513,2014-07-10,2015-03-03
609,600518,2014-05-19,2014-09-18
610,600520,2012-10-22,2013-11-28
611,600522,2014-02-19,2014-06-30
612,600526,2012-03-16,2012-12-20
613,600526,2014-01-28,2015-01-08
614,600532,2014-07-21,2015-05-21
615,600535,2014-06-18,2015-01-26
616,600536,2013-01-08,2013-10-17
617,600537,2013-09-18,2014-10-20
618,600538,2013-07-30,2014-01-27
619,600540,2013-11-15,2014-07-31
620,600549,2014-03-21,2014-09-15
621,600550,2013-12-06,2014-10-16
622,600552,2012-03-16,2012-12-24
623,600557,2013-01-21,2014-10-23
624,600558,2013-02-06,2013-08-29
625,600559,2014-12-02,2015-10-26
626,600566,2014-12-12,2015-08-27
627,600568,2013-08-20,2014-07-24
628,600572,2012-05-09,2012-11-22
629,600572,2014-04-08,2015-01-08
630,600575,2013-12-19,2014-06-12
631,600577,2013-10-22,2014-02-27
632,600580,2013-01-09,2015-08-27
633,600583,2012-10-30,2013-08-01
634,600584,2013-11-28,2014-07-31
635,600587,2012-07-23,2013-04-11
636,600588,2012-03-12,2012-08-30
637,600588,2014-12-04,2015-05-18
638,600590,2014-10-15,2015-05-21
639,600592,2012-05-24,2012-11-01
640,600594,2013-02-04,2013-11-22
641,600595,2013-02-19,2013-06-27
642,600599,2012-03-14,2013-02-28
643,600601,2014-06-03,2014-12-15
644,600616,2012-12-19,2013-11-21
645,600617,2014-12-09,2015-08-17
646,600622,2015-07-02,2015-12-24
647,600624,2013-07-18,2014-01-16
648,600633,2012-04-10,2013-01-28
649,600636,2014-06-09,2015-03-17
650,600639,2014-02-26,2015-04-20
651,600644,2013-12-09,2014-06-30
652,600645,2012-01-31,2013-10-21
653,600648,2013-08-30,2014-02-27
654,600653,2014-08-05,2015-11-19
655,600673,2013-03-26,2013-11-11
656,600686,2014-03-20,2015-03-23
657,600687,2015-03-09,2015-11-27
658,600690,2013-10-08,2014-04-03
659,600693,2014-05-14,2014-11-25
660,600699,2012-03-30,2015-07-02
661,600703,2013-05-28,2013-12-23
662,600703,2015-03-24,2015-07-02
663,600704,2013-09-25,2014-06-09
664,600705,2013-04-25,2014-01-09
665,600711,2013-05-20,2014-03-24
666,600713,2012-09-18,2014-09-29
667,600715,2013-07-05,2015-06-11
668,600716,2015-01-12,2015-08-24
669,600725,2012-07-13,2015-11-27
670,600728,2014-10-14,2015-09-24
671,600729,2012-12-19,2013-08-05
672,600731,2013-06-18,2013-11-13
673,600736,2014-01-24,2015-03-03
674,600739,2013-09-12,2014-01-06
675,600739,2014-09-09,2015-01-19
676,600741,2015-04-23,2015-10-19
677,600745,2013-03-19,2014-03-20
678,600747,2012-10-17,2013-11-19
679,600748,2015-04-29,2015-11-27
680,600749,2015-03-25,2015-11-27
681,600751,2013-08-21,2014-09-18
682,600754,2014-06-16,2014-10-14
683,600756,2015-06-24,2015-12-24
684,600757,2012-06-04,2013-04-01
685,600759,2013-12-04,2014-11-03
686,600770,2013-05-22,2014-01-09
687,600771,2014-06-10,2015-05-18
688,600773,2013-11-20,2014-09-02
689,600775,2012-11-08,2013-04-02
690,600787,2014-02-28,2015-08-31
691,600794,2012-01-11,2012-11-01
692,600794,2013-10-08,2014-08-07
693,600795,2012-10-17,2012-12-13
694,600807,2014-09-16,2015-07-06
695,600812,2013-07-18,2013-12-05
696,600816,2014-02-12,2015-05-25
697,600819,2013-05-20,2013-10-28
698,600823,2015-02-17,2015-09-21
699,600827,2015-04-20,2015-12-10
700,600836,2013-09-03,2015-04-13
701,600843,2013-02-18,2014-02-21
702,600844,2015-01-07,2015-11-27
703,600866,2014-01-30,2014-09-29
704,600880,2012-10-25,2013-08-12
705,600881,2014-05-21,2015-03-03
706,600884,2015-05-06,2015-11-27
707,600885,2012-12-31,2013-11-19
708,600892,2012-02-24,2015-11-12
709,600894,2013-10-09,2014-03-10
710,600896,2015-06-11,2015-11-27
711,600960,2012-08-06,2013-12-05
712,600963,2012-01-04,2012-10-25
713,600969,2014-03-04,2014-08-26
714,600973,2014-09-30,2015-09-10
715,600975,2014-05-30,2015-02-16
716,600980,2013-02-06,2015-09-10
717,600982,2013-09-06,2014-04-14
718,600983,2013-08-14,2014-07-31
719,600984,2012-12-11,2013-05-02
720,600990,2012-05-11,2013-02-04
721,600998,2013-08-14,2014-01-23
722,600999,2013-10-17,2014-04-14
723,601000,2013-03-28,2015-03-30
724,601008,2013-01-31,2013-06-27
725,601009,2014-07-17,2015-03-16
726,601009,2015-07-29,2015-11-19
727,601012,2014-07-01,2015-03-03
728,601016,2015-03-11,2015-11-16
729,601021,2015-07-21,2015-12-03
730,601028,2014-03-27,2014-09-02
731,601058,2013-05-02,2013-11-07
732,601058,2014-04-10,2014-09-15
733,601111,2012-04-27,2012-11-02
734,601113,2014-10-14,2015-06-29
735,601166,2014-06-09,2014-11-04
736,601169,2014-12-10,2015-11-05
737,601186,2014-12-17,2015-06-11
738,601188,2012-12-13,2013-09-09
739,601216,2015-07-02,2015-11-02
740,601222,2014-10-14,2015-03-23
741,601231,2014-04-15,2014-09-25
742,601233,2015-05-12,2015-12-24
743,601258,2013-09-02,2014-07-17
744,601377,2012-08-21,2013-01-28
745,601390,2015-02-11,2015-06-04
746,601398,2014-07-28,2015-05-12
747,601555,2013-05-14,2014-01-14
748,601555,2015-06-01,2015-12-03
749,601599,2014-12-09,2015-12-28
750,601600,2012-03-09,2012-12-10
751,601636,2013-08-06,2014-02-17
752,601636,2014-08-20,2015-01-19
753,601668,2014-05-27,2014-12-08
754,601677,2014-11-07,2015-09-24
755,601777,2014-07-08,2014-12-01
756,601788,2012-08-01,2013-03-25
757,601788,2014-11-21,2015-07-02
758,601800,2014-11-25,2015-06-04
759,601872,2014-11-18,2015-06-25
760,601888,2012-11-14,2013-05-16
761,601908,2014-12-03,2015-09-24
762,601933,2012-09-05,2013-03-04
763,601933,2014-08-12,2015-02-09
764,601988,2014-05-14,2014-09-16
765,601989,2013-09-11,2013-12-23
766,601992,2013-09-06,2014-03-10
767,601992,2015-03-27,2015-09-21
768,601998,2014-10-30,2015-11-30
769,603019,2015-04-27,2015-12-03
770,603077,2014-08-13,2015-02-16
771,603166,2015-04-14,2015-11-05
772,603169,2015-05-06,2015-11-04
773,603308,2015-06-16,2015-12-17
774,603368,2015-04-30,2015-12-07
775,603399,2014-05-26,2015-07-09
776,603456,2015-02-16,2015-10-15
